,CN1,CN2,CN3,CN4,CN5,CN6,CN7,CN8,CN9,CN10,CN11,CN12,CN13,CN14,CN15,CN16,CN17,CN18,CN19,CN20,CN21,CN22,CN23,CN24,CN25,% CN1,% CN2,% CN3,% CN4,% CN5,% CN6,% CN7,% CN8,% CN9,% CN10,% CN11,% CN12,% CN13,% CN14,% CN15,% CN16,% CN17,% CN18,% CN19,% CN20,% CN21,% CN22,% CN23,% CN24,Status
TCGA-AR-A0TQ,0,37,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,49.333333333333336,0.0,0.0,0.0,0.0,30.563002680965145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gap
TCGA-C8-A1HF,0,46,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0.0,39.6551724137931,0.0,0.0,22.485600354452814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.64738305336399,0.0,0.0,0.0,0.0,Gap
TCGA-D8-A1X5,0,29,0,0,41,0,0,0,0,0,48,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0.0,15.18324607329843,0.0,0.0,19.885223838907088,0.0,0.0,0.0,0.0,0.0,21.232505363813438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.518686660464173,0.0,0.0,0.0,0.0,Gap
TCGA-BH-A18R,18,0,0,41,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,8.411214953271028,0.0,0.0,18.434322211950583,0.0,0.0,0.0,0.0,36.122737013938284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.551548440531306,0.0,0.0,0.0,0.0,Gap
TCGA-3C-AALJ,0,0,0,0,99,0,0,109,0,0,0,0,0,0,0,0,0,0,0,378,0,0,0,0,0,0.0,0.0,0.0,0.0,16.89419795221843,0.0,0.0,18.079457452108148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.87214758794843,0.0,0.0,0.0,0.0,Gap
TCGA-C8-A12M,0,0,0,0,75,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,26.13240418118467,0.0,67.70298990753207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gap
TCGA-BH-A0DZ,29,0,0,0,0,0,50,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.16788321167883,0.0,0.0,0.0,0.0,0.0,31.611980248280954,0.0,30.56172501264181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gap
TCGA-E9-A5FL,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,28.708133971291865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.681910589561404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gap
TCGA-3C-AALK,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.13821138211382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.387715340442988,Gap
TCGA-D8-A27G,29,0,0,0,0,0,29,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.85185185185185,0.0,0.0,0.0,0.0,0.0,21.505081021697336,0.0,31.97811512485768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gap
